Age,Gender,Department,JobRole,Education,EducationLevel,MonthlyIncome,DailyRate,HourlyRate,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,MaritalStatus,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,DistanceFromHome,Attrition
30,Female,Finance,Engineer,High School,2,5736,1251,58,6,4,27,5,0,3,4,1,1,1,4,No,Non-Travel,Divorced,4,0,0,1,Yes
31,Female,Marketing,Engineer,High School,4,2079,790,23,17,4,1,9,0,0,2,2,2,3,3,No,Travel_Frequently,Married,3,4,2,22,No
26,Female,Marketing,Senior,Master,4,3009,491,64,0,18,2,7,1,0,1,2,1,1,3,No,Non-Travel,Divorced,0,3,3,1,No
33,Female,Marketing,Analyst,PhD,1,2298,1316,91,6,10,3,7,0,3,3,3,2,1,4,No,Non-Travel,Divorced,1,5,1,9,No
39,Female,Operations,Engineer,Bachelor,4,2602,703,74,20,9,1,2,3,0,4,3,1,2,3,No,Non-Travel,Married,6,6,0,2,Yes
53,Female,Operations,Junior,PhD,2,1802,980,29,0,4,0,1,1,5,3,4,1,4,3,No,Non-Travel,Married,4,3,3,2,No
36,Female,IT,Director,High School,2,2509,1201,50,14,17,1,1,1,0,2,3,3,1,4,Yes,Travel_Frequently,Married,5,2,0,8,Yes
37,Male,HR,Specialist,PhD,1,2939,184,77,3,0,1,3,3,0,4,3,3,2,4,No,Travel_Rarely,Married,3,5,0,1,No
34,Male,Marketing,Analyst,PhD,4,2475,1153,83,19,20,2,6,3,17,1,3,1,1,3,No,Non-Travel,Divorced,3,3,0,2,No
18,Female,Marketing,Senior,Bachelor,4,2750,148,94,9,7,0,0,0,1,1,2,2,1,4,Yes,Non-Travel,Divorced,0,0,2,15,Yes
34,Male,HR,Analyst,Master,4,3650,1268,55,22,5,10,7,2,3,2,2,1,1,3,No,Non-Travel,Married,2,4,3,6,No
35,Female,Sales,Manager,Master,3,5537,168,88,8,6,6,5,1,0,1,3,3,4,3,Yes,Non-Travel,Divorced,2,1,1,7,No
59,Female,Marketing,Manager,PhD,4,5742,1181,38,1,11,0,11,0,2,1,1,1,3,4,No,Travel_Frequently,Single,3,1,3,7,Yes
33,Male,IT,Engineer,PhD,2,4362,796,96,13,0,5,6,0,3,1,3,3,4,4,No,Travel_Rarely,Divorced,1,2,0,1,No
38,Female,Finance,Engineer,Master,2,1587,578,63,15,20,5,0,1,1,1,1,1,2,3,No,Travel_Rarely,Single,5,1,0,1,Yes
34,Female,Finance,Junior,Master,3,2489,919,32,0,5,15,0,0,5,1,2,4,3,3,Yes,Travel_Rarely,Married,7,3,1,3,Yes
23,Female,R&D,Director,Bachelor,3,2598,1419,21,1,4,0,0,0,2,1,1,1,2,3,No,Travel_Frequently,Married,3,5,3,2,No
46,Female,R&D,Specialist,High School,4,2146,1294,18,6,1,1,1,2,1,1,2,2,1,3,Yes,Travel_Rarely,Divorced,2,4,1,2,Yes
42,Male,Finance,Analyst,PhD,1,3537,246,83,9,5,13,2,2,2,4,1,3,3,3,No,Travel_Frequently,Married,4,3,0,7,Yes
42,Female,Finance,Manager,Master,3,1343,1429,74,21,6,13,4,0,2,1,2,4,2,3,No,Travel_Frequently,Divorced,1,3,0,1,Yes
25,Female,Operations,Engineer,PhD,3,6951,1115,69,19,5,6,6,0,0,4,2,3,1,3,No,Non-Travel,Divorced,0,4,0,5,No
49,Female,IT,Specialist,PhD,4,5418,708,30,0,11,7,2,3,1,3,3,3,2,3,No,Travel_Frequently,Divorced,2,3,0,1,No
20,Male,HR,Analyst,Master,4,3786,545,96,12,5,0,0,0,1,2,4,2,2,3,No,Travel_Rarely,Divorced,2,3,0,1,No
40,Female,R&D,Engineer,Bachelor,3,2889,320,43,0,32,3,0,5,1,1,4,1,4,3,Yes,Travel_Rarely,Single,0,2,3,2,Yes
56,Male,Operations,Engineer,PhD,1,5510,1389,37,4,9,1,0,1,4,2,2,2,1,3,No,Travel_Rarely,Single,2,3,1,9,No
25,Male,Operations,Manager,Bachelor,3,4207,194,28,15,16,0,1,0,1,1,3,1,4,3,No,Non-Travel,Married,0,4,1,1,No
29,Female,HR,Manager,Master,4,5183,361,93,14,1,8,2,0,8,4,4,4,3,4,No,Non-Travel,Single,1,2,0,4,No
35,Female,Operations,Engineer,High School,4,2894,996,63,16,5,0,0,0,1,1,4,2,1,3,Yes,Non-Travel,Married,0,6,0,5,Yes
29,Male,IT,Senior,High School,3,7292,1194,47,22,4,3,1,0,1,3,3,2,4,3,No,Travel_Frequently,Married,2,2,1,1,No
19,Female,Finance,Engineer,PhD,1,5342,318,39,15,8,13,0,0,4,2,3,3,4,3,No,Travel_Rarely,Divorced,1,1,2,3,No
35,Male,Marketing,Specialist,Master,3,3845,191,35,12,19,1,3,1,2,2,4,2,3,3,No,Travel_Frequently,Divorced,1,6,1,12,No
24,Male,HR,Engineer,Bachelor,3,5585,226,31,10,0,19,1,0,2,3,4,1,2,3,No,Travel_Frequently,Divorced,0,2,2,3,Yes
39,Female,Finance,Junior,PhD,4,2417,179,37,16,0,25,2,1,0,4,1,2,2,3,No,Travel_Rarely,Divorced,0,3,2,1,No
25,Female,Finance,Director,Master,1,1662,1361,71,16,18,4,1,1,1,4,1,2,2,3,Yes,Non-Travel,Divorced,1,1,0,4,Yes
50,Male,Sales,Junior,Master,2,3500,1082,95,1,2,0,9,0,0,3,2,4,3,3,Yes,Travel_Rarely,Divorced,0,3,0,4,No
27,Male,HR,Junior,Bachelor,1,2897,1495,72,12,11,1,0,0,17,2,4,1,4,3,No,Travel_Frequently,Single,7,6,1,1,No
31,Male,Operations,Senior,PhD,3,2700,1015,28,13,7,2,2,0,1,1,3,3,1,3,No,Travel_Frequently,Married,1,3,1,1,No
43,Male,Marketing,Senior,Master,3,5476,585,34,10,17,1,3,0,6,4,3,1,3,4,No,Non-Travel,Married,4,2,0,1,Yes
22,Female,HR,Engineer,Master,3,3240,793,44,9,1,1,2,2,3,1,4,4,2,3,No,Travel_Frequently,Divorced,2,2,1,1,No
37,Female,Operations,Junior,Master,1,3400,124,33,2,1,17,7,0,1,2,2,1,2,3,No,Travel_Frequently,Single,4,2,1,1,Yes
48,Female,Finance,Senior,Bachelor,4,2531,255,67,16,8,0,1,3,2,1,3,1,1,3,No,Travel_Rarely,Divorced,2,4,3,3,Yes
18,Female,Marketing,Manager,PhD,3,4631,731,70,14,29,6,1,1,5,3,4,2,3,3,No,Non-Travel,Single,2,3,0,2,No
36,Female,Operations,Engineer,PhD,3,4234,1180,91,8,5,0,0,1,6,4,4,2,2,4,No,Travel_Rarely,Single,2,1,0,11,No
37,Male,IT,Specialist,PhD,1,4613,118,96,9,3,4,2,1,0,4,2,1,3,3,No,Travel_Rarely,Married,4,5,1,4,No
42,Female,Operations,Director,PhD,2,2324,1316,37,7,9,12,1,2,1,3,4,1,4,4,No,Travel_Rarely,Married,1,2,1,10,Yes
22,Female,Sales,Analyst,High School,2,5721,336,76,20,26,1,0,0,1,3,3,3,3,3,Yes,Travel_Frequently,Single,2,3,1,3,No
21,Female,Finance,Engineer,High School,4,7475,376,47,12,18,1,2,0,0,4,1,4,4,4,Yes,Travel_Frequently,Married,3,3,3,1,No
40,Female,Operations,Analyst,PhD,4,4541,1350,32,17,40,5,2,1,2,4,2,2,1,3,No,Non-Travel,Single,5,5,2,3,Yes
37,Female,R&D,Junior,Bachelor,3,1988,844,87,4,0,6,0,0,5,4,4,2,4,3,No,Travel_Frequently,Single,1,4,1,8,No
37,Male,R&D,Director,High School,1,1995,651,47,5,1,5,3,1,1,2,2,2,4,3,No,Non-Travel,Single,2,6,0,1,Yes
38,Male,Sales,Analyst,Master,3,2470,1446,46,16,9,1,2,2,4,2,4,2,1,3,No,Travel_Rarely,Married,0,4,1,1,No
28,Male,IT,Junior,High School,4,2248,1276,75,10,17,1,0,1,2,2,1,1,2,3,Yes,Travel_Rarely,Divorced,3,1,1,1,No
37,Female,Finance,Manager,Master,1,2876,738,68,19,3,15,1,1,1,1,2,1,1,3,Yes,Travel_Frequently,Married,3,4,2,2,Yes
37,Male,HR,Analyst,PhD,1,4089,336,31,15,2,12,3,1,0,2,4,3,3,3,No,Travel_Frequently,Divorced,0,2,3,1,No
27,Male,Sales,Director,High School,4,3446,1097,33,8,15,3,2,2,3,4,1,2,1,4,No,Non-Travel,Married,1,2,1,1,No
53,Female,IT,Engineer,Bachelor,2,3298,154,84,1,0,9,1,2,5,2,3,2,3,3,No,Travel_Frequently,Married,0,5,1,1,No
39,Female,HR,Junior,High School,2,2642,783,48,4,4,3,1,1,3,4,4,1,2,3,Yes,Travel_Frequently,Divorced,0,2,0,5,No
23,Female,R&D,Engineer,High School,1,2872,208,98,0,7,2,2,2,0,3,1,3,3,4,No,Travel_Frequently,Single,1,2,0,2,No
41,Male,R&D,Director,High School,3,4439,1307,39,3,8,0,8,4,0,1,1,1,1,4,No,Travel_Rarely,Divorced,3,1,0,5,No
25,Male,HR,Senior,PhD,2,1090,1491,82,3,13,2,3,1,0,1,2,2,1,3,No,Travel_Frequently,Single,2,4,0,3,Yes
42,Female,Sales,Junior,Bachelor,3,2964,1321,88,21,4,3,0,1,2,3,4,2,2,3,No,Travel_Frequently,Single,5,2,1,3,No
46,Female,R&D,Analyst,High School,2,3442,1494,88,24,9,0,1,2,4,4,3,4,1,3,Yes,Travel_Rarely,Married,2,4,0,1,No
26,Male,Finance,Junior,Bachelor,2,4410,472,99,2,8,2,6,1,0,1,4,4,2,3,No,Travel_Rarely,Married,2,0,1,3,No
44,Male,Marketing,Engineer,PhD,3,1798,1072,25,8,7,7,0,0,5,2,1,4,2,3,No,Travel_Rarely,Married,2,3,1,1,No
39,Female,Operations,Manager,Master,4,1752,300,30,21,10,5,13,4,2,4,3,3,1,3,No,Travel_Rarely,Married,1,6,1,2,Yes
43,Female,HR,Junior,High School,2,3991,948,75,22,3,5,8,0,3,1,1,1,4,3,No,Travel_Frequently,Married,2,3,1,4,Yes
53,Male,HR,Analyst,Bachelor,2,1150,608,94,11,0,12,0,2,10,3,2,2,3,3,Yes,Travel_Frequently,Divorced,1,1,0,1,Yes
32,Female,R&D,Senior,Bachelor,3,5802,1445,21,9,1,0,8,2,0,4,4,2,4,4,No,Travel_Frequently,Divorced,0,4,3,1,No
27,Male,Sales,Specialist,PhD,4,3338,374,30,1,2,4,1,6,6,1,1,3,2,3,No,Non-Travel,Divorced,4,0,0,1,Yes
26,Male,Finance,Manager,High School,2,6498,310,30,10,6,7,5,0,0,3,1,2,3,3,Yes,Travel_Rarely,Divorced,1,2,3,1,No
26,Male,Sales,Senior,Master,2,1731,603,54,9,18,3,1,1,1,4,4,2,4,3,Yes,Travel_Frequently,Married,3,4,0,2,No
34,Male,IT,Junior,Bachelor,4,2396,1241,26,21,12,1,1,1,5,2,3,1,1,3,No,Travel_Frequently,Divorced,1,1,1,19,No
38,Female,IT,Engineer,High School,2,894,802,49,5,15,0,3,0,7,4,1,4,4,3,Yes,Travel_Frequently,Divorced,2,3,0,2,Yes
37,Female,Marketing,Director,Master,4,2002,141,35,17,4,10,4,0,2,2,4,4,3,3,No,Travel_Rarely,Single,2,5,0,3,Yes
43,Male,R&D,Engineer,Bachelor,4,2719,414,64,1,5,3,0,1,2,4,2,3,3,4,No,Travel_Rarely,Married,1,2,1,5,No
35,Male,R&D,Analyst,Bachelor,3,1117,887,57,1,5,10,2,1,3,3,2,4,3,3,No,Travel_Rarely,Divorced,2,1,2,5,No
49,Male,R&D,Engineer,Master,1,2447,428,31,9,2,4,0,0,5,2,4,4,3,3,No,Travel_Frequently,Divorced,0,5,0,14,No
32,Male,Marketing,Manager,Master,4,1103,1140,46,15,0,5,1,1,0,2,1,3,4,3,Yes,Travel_Rarely,Divorced,2,1,1,9,Yes
62,Male,IT,Engineer,PhD,3,2620,382,55,11,8,8,1,2,4,4,4,3,1,3,Yes,Travel_Frequently,Married,1,2,0,7,No
41,Female,Sales,Analyst,High School,1,5289,1042,20,0,40,5,1,2,1,1,4,4,1,3,No,Non-Travel,Divorced,1,2,0,15,No
26,Female,Marketing,Specialist,High School,2,2929,357,41,20,1,2,1,4,1,2,1,1,3,3,No,Travel_Rarely,Single,0,2,3,1,No
24,Female,Marketing,Junior,PhD,1,6830,674,34,7,0,3,0,1,1,4,3,3,1,3,No,Travel_Rarely,Married,3,2,2,4,No
